query,intent
목표에 대해 설명 부탁드립니다,1
목표에 대해 설명,1
동기,1
동기 궁금합니다,1
동기 알고 싶습니다,1
동기 궁금해,1
동기 알려줘,1
동기 알려줄래,1
동기 설명해줘,1
동기 설명 부탁드립니다,1
동기 설명,1
동기에 대해 궁금합니다,1
동기에 대해 알고 싶습니다,1
동기에 대해 궁금해,1
동기에 대해 알려줘,1
동기에 대해 알려줄래,1
동기에 대해 설명해줘,1
동기에 대해 설명 부탁드립니다,1
동기에 대해 설명,1
유발,1
유발 궁금합니다,1
유발 알고 싶습니다,1
유발 궁금해,1
유발 알려줘,1
유발 알려줄래,1
유발 설명해줘,1
유발 설명 부탁드립니다,1
유발 설명,1
유발에 대해 궁금합니다,1
유발에 대해 알고 싶습니다,1
유발에 대해 궁금해,1
유발에 대해 알려줘,1
유발에 대해 알려줄래,1
유발에 대해 설명해줘,1
유발에 대해 설명 부탁드립니다,1
유발에 대해 설명,1
기본,1
기본 궁금합니다,1
기본 알고 싶습니다,1
기본 궁금해,1
기본 알려줘,1
기본 알려줄래,1
기본 설명해줘,1
기본 설명 부탁드립니다,1
기본 설명,1
기본에 대해 궁금합니다,1
기본에 대해 알고 싶습니다,1
기본에 대해 궁금해,1
기본에 대해 알려줘,1
기본에 대해 알려줄래,1
기본에 대해 설명해줘,1
기본에 대해 설명 부탁드립니다,1
기본에 대해 설명,1
개념,1
개념 궁금합니다,1
개념 알고 싶습니다,1
개념 궁금해,1
개념 알려줘,1
개념 알려줄래,1
개념 설명해줘,1
개념 설명 부탁드립니다,1
개념 설명,1
개념에 대해 궁금합니다,1
개념에 대해 알고 싶습니다,1
개념에 대해 궁금해,1
개념에 대해 알려줘,1
개념에 대해 알려줄래,1
개념에 대해 설명해줘,1
개념에 대해 설명 부탁드립니다,1
개념에 대해 설명,1
필요,1
필요 궁금합니다,1
필요 알고 싶습니다,1
필요 궁금해,1
필요 알려줘,1
필요 알려줄래,1
필요 설명해줘,1
필요 설명 부탁드립니다,1
필요 설명,1
필요에 대해 궁금합니다,1
필요에 대해 알고 싶습니다,1
필요에 대해 궁금해,1
필요에 대해 알려줘,1
필요에 대해 알려줄래,1
필요에 대해 설명해줘,1
필요에 대해 설명 부탁드립니다,1
필요에 대해 설명,1
정의,1
정의 궁금합니다,1
정의 알고 싶습니다,1
정의 궁금해,1
정의 알려줘,1
정의 알려줄래,1
정의 설명해줘,1
정의 설명 부탁드립니다,1
정의 설명,1
정의에 대해 궁금합니다,1
정의에 대해 알고 싶습니다,1
정의에 대해 궁금해,1
정의에 대해 알려줘,1
정의에 대해 알려줄래,1
정의에 대해 설명해줘,1
정의에 대해 설명 부탁드립니다,1
정의에 대해 설명,1
수,1
수 궁금합니다,1
수 알고 싶습니다,1
수 궁금해,1
수 알려줘,1
수 알려줄래,1
수 설명해줘,1
수 설명 부탁드립니다,1
수 설명,1
수에 대해 궁금합니다,1
수에 대해 알고 싶습니다,1
수에 대해 궁금해,1
수에 대해 알려줘,1
수에 대해 알려줄래,1
수에 대해 설명해줘,1
수에 대해 설명 부탁드립니다,1
수에 대해 설명,1
함축,1
함축 궁금합니다,1
함축 알고 싶습니다,1
함축 궁금해,1
함축 알려줘,1
함축 알려줄래,1
함축 설명해줘,1
함축 설명 부탁드립니다,1
함축 설명,1
함축에 대해 궁금합니다,1
함축에 대해 알고 싶습니다,1
함축에 대해 궁금해,1
함축에 대해 알려줘,1
함축에 대해 알려줄래,1
함축에 대해 설명해줘,1
함축에 대해 설명 부탁드립니다,1
함축에 대해 설명,1
가지,1
가지 궁금합니다,1
가지 알고 싶습니다,1
가지 궁금해,1
가지 알려줘,1
가지 알려줄래,1
가지 설명해줘,1
가지 설명 부탁드립니다,1
가지 설명,1
가지에 대해 궁금합니다,1
가지에 대해 알고 싶습니다,1
가지에 대해 궁금해,1
가지에 대해 알려줘,1
가지에 대해 알려줄래,1
가지에 대해 설명해줘,1
가지에 대해 설명 부탁드립니다,1
가지에 대해 설명,1
설명,1
설명 궁금합니다,1
설명 알고 싶습니다,1
설명 궁금해,1
설명 알려줘,1
설명 알려줄래,1
설명 설명해줘,1
설명 설명 부탁드립니다,1
설명 설명,1
설명에 대해 궁금합니다,1
설명에 대해 알고 싶습니다,1
설명에 대해 궁금해,1
설명에 대해 알려줘,1
설명에 대해 알려줄래,1
설명에 대해 설명해줘,1
설명에 대해 설명 부탁드립니다,1
설명에 대해 설명,1
구축,1
구축 궁금합니다,1
구축 알고 싶습니다,1
구축 궁금해,1
구축 알려줘,1
구축 알려줄래,1
구축 설명해줘,1
구축 설명 부탁드립니다,1
구축 설명,1
구축에 대해 궁금합니다,1
구축에 대해 알고 싶습니다,1
구축에 대해 궁금해,1
구축에 대해 알려줘,1
구축에 대해 알려줄래,1
구축에 대해 설명해줘,1
구축에 대해 설명 부탁드립니다,1
구축에 대해 설명,1
구성 요소,1
구성 요소 궁금합니다,1
구성 요소 알고 싶습니다,1
구성 요소 궁금해,1
구성 요소 알려줘,1
구성 요소 알려줄래,1
구성 요소 설명해줘,1
구성 요소 설명 부탁드립니다,1
구성 요소 설명,1
구성 요소에 대해 궁금합니다,1
구성 요소에 대해 알고 싶습니다,1
구성 요소에 대해 궁금해,1
구성 요소에 대해 알려줘,1
구성 요소에 대해 알려줄래,1
구성 요소에 대해 설명해줘,1
구성 요소에 대해 설명 부탁드립니다,1
구성 요소에 대해 설명,1
Lesson,1
Lesson 궁금합니다,1
Lesson 알고 싶습니다,1
Lesson 궁금해,1
Lesson 알려줘,1
Lesson 알려줄래,1
Lesson 설명해줘,1
Lesson 설명 부탁드립니다,1
Lesson 설명,1
Lesson에 대해 궁금합니다,1
Lesson에 대해 알고 싶습니다,1
Lesson에 대해 궁금해,1
Lesson에 대해 알려줘,1
Lesson에 대해 알려줄래,1
Lesson에 대해 설명해줘,1
Lesson에 대해 설명 부탁드립니다,1
Lesson에 대해 설명,1
데이터,1
데이터 궁금합니다,1
데이터 알고 싶습니다,1
데이터 궁금해,1
데이터 알려줘,1
데이터 알려줄래,1
데이터 설명해줘,1
데이터 설명 부탁드립니다,1
데이터 설명,1
데이터에 대해 궁금합니다,1
데이터에 대해 알고 싶습니다,1
데이터에 대해 궁금해,1
데이터에 대해 알려줘,1
데이터에 대해 알려줄래,1
데이터에 대해 설명해줘,1
데이터에 대해 설명 부탁드립니다,1
데이터에 대해 설명,1
정보,1
정보 궁금합니다,1
정보 알고 싶습니다,1
정보 궁금해,1
정보 알려줘,1
정보 알려줄래,1
정보 설명해줘,1
정보 설명 부탁드립니다,1
정보 설명,1
정보에 대해 궁금합니다,1
정보에 대해 알고 싶습니다,1
정보에 대해 궁금해,1
정보에 대해 알려줘,1
정보에 대해 알려줄래,1
정보에 대해 설명해줘,1
정보에 대해 설명 부탁드립니다,1
정보에 대해 설명,1
차이점,1
차이점 궁금합니다,1
차이점 알고 싶습니다,1
차이점 궁금해,1
차이점 알려줘,1
차이점 알려줄래,1
차이점 설명해줘,1
차이점 설명 부탁드립니다,1
차이점 설명,1
차이점에 대해 궁금합니다,1
차이점에 대해 알고 싶습니다,1
차이점에 대해 궁금해,1
차이점에 대해 알려줘,1
차이점에 대해 알려줄래,1
차이점에 대해 설명해줘,1
차이점에 대해 설명 부탁드립니다,1
차이점에 대해 설명,1
정,1
정 궁금합니다,1
정 알고 싶습니다,1
정 궁금해,1
정 알려줘,1
정 알려줄래,1
정 설명해줘,1
정 설명 부탁드립니다,1
정 설명,1
정에 대해 궁금합니다,1
정에 대해 알고 싶습니다,1
정에 대해 궁금해,1
정에 대해 알려줘,1
정에 대해 알려줄래,1
정에 대해 설명해줘,1
정에 대해 설명 부탁드립니다,1
정에 대해 설명,1
특징,1
특징 궁금합니다,1
특징 알고 싶습니다,1
특징 궁금해,1
특징 알려줘,1
특징 알려줄래,1
특징 설명해줘,1
특징 설명 부탁드립니다,1
특징 설명,1
특징에 대해 궁금합니다,1
특징에 대해 알고 싶습니다,1
특징에 대해 궁금해,1
특징에 대해 알려줘,1
특징에 대해 알려줄래,1
특징에 대해 설명해줘,1
특징에 대해 설명 부탁드립니다,1
특징에 대해 설명,1
출현,1
출현 궁금합니다,1
출현 알고 싶습니다,1
출현 궁금해,1
출현 알려줘,1
출현 알려줄래,1
출현 설명해줘,1
출현 설명 부탁드립니다,1
출현 설명,1
출현에 대해 궁금합니다,1
출현에 대해 알고 싶습니다,1
출현에 대해 궁금해,1
출현에 대해 알려줘,1
출현에 대해 알려줄래,1
출현에 대해 설명해줘,1
출현에 대해 설명 부탁드립니다,1
출현에 대해 설명,1
배경,1
배경 궁금합니다,1
배경 알고 싶습니다,1
배경 궁금해,1
배경 알려줘,1
배경 알려줄래,1
배경 설명해줘,1
배경 설명 부탁드립니다,1
배경 설명,1
배경에 대해 궁금합니다,1
배경에 대해 알고 싶습니다,1
배경에 대해 궁금해,1
배경에 대해 알려줘,1
배경에 대해 알려줄래,1
배경에 대해 설명해줘,1
배경에 대해 설명 부탁드립니다,1
배경에 대해 설명,1
이번,1
이번 궁금합니다,1
이번 알고 싶습니다,1
이번 궁금해,1
이번 알려줘,1
이번 알려줄래,1
이번 설명해줘,1
이번 설명 부탁드립니다,1
이번 설명,1
이번에 대해 궁금합니다,1
이번에 대해 알고 싶습니다,1
이번에 대해 궁금해,1
이번에 대해 알려줘,1
이번에 대해 알려줄래,1
이번에 대해 설명해줘,1
이번에 대해 설명 부탁드립니다,1
이번에 대해 설명,1
레스,1
레스 궁금합니다,1
레스 알고 싶습니다,1
레스 궁금해,1
레스 알려줘,1
레스 알려줄래,1
레스 설명해줘,1
레스 설명 부탁드립니다,1
레스 설명,1
레스에 대해 궁금합니다,1
레스에 대해 알고 싶습니다,1
레스에 대해 궁금해,1
레스에 대해 알려줘,1
레스에 대해 알려줄래,1
레스에 대해 설명해줘,1
레스에 대해 설명 부탁드립니다,1
레스에 대해 설명,1
이해,1
이해 궁금합니다,1
이해 알고 싶습니다,1
이해 궁금해,1
이해 알려줘,1
이해 알려줄래,1
이해 설명해줘,1
이해 설명 부탁드립니다,1
이해 설명,1
이해에 대해 궁금합니다,1
이해에 대해 알고 싶습니다,1
이해에 대해 궁금해,1
이해에 대해 알려줘,1
이해에 대해 알려줄래,1
이해에 대해 설명해줘,1
이해에 대해 설명 부탁드립니다,1
이해에 대해 설명,1
습,1
습 궁금합니다,1
습 알고 싶습니다,1
습 궁금해,1
습 알려줘,1
습 알려줄래,1
습 설명해줘,1
습 설명 부탁드립니다,1
습 설명,1
습에 대해 궁금합니다,1
습에 대해 알고 싶습니다,1
습에 대해 궁금해,1
습에 대해 알려줘,1
습에 대해 알려줄래,1
습에 대해 설명해줘,1
습에 대해 설명 부탁드립니다,1
습에 대해 설명,1
니다,1
니다 궁금합니다,1
니다 알고 싶습니다,1
니다 궁금해,1
니다 알려줘,1
니다 알려줄래,1
니다 설명해줘,1
니다 설명 부탁드립니다,1
니다 설명,1
니다에 대해 궁금합니다,1
니다에 대해 알고 싶습니다,1
니다에 대해 궁금해,1
니다에 대해 알려줘,1
니다에 대해 알려줄래,1
니다에 대해 설명해줘,1
니다에 대해 설명 부탁드립니다,1
니다에 대해 설명,1
Data,1
Data 궁금합니다,1
Data 알고 싶습니다,1
Data 궁금해,1
Data 알려줘,1
Data 알려줄래,1
Data 설명해줘,1
Data 설명 부탁드립니다,1
Data 설명,1
Data에 대해 궁금합니다,1
Data에 대해 알고 싶습니다,1
Data에 대해 궁금해,1
Data에 대해 알려줘,1
Data에 대해 알려줄래,1
Data에 대해 설명해줘,1
Data에 대해 설명 부탁드립니다,1
Data에 대해 설명,1
현실,1
현실 궁금합니다,1
현실 알고 싶습니다,1
현실 궁금해,1
현실 알려줘,1
현실 알려줄래,1
현실 설명해줘,1
현실 설명 부탁드립니다,1
현실 설명,1
현실에 대해 궁금합니다,1
현실에 대해 알고 싶습니다,1
현실에 대해 궁금해,1
현실에 대해 알려줘,1
현실에 대해 알려줄래,1
현실에 대해 설명해줘,1
현실에 대해 설명 부탁드립니다,1
현실에 대해 설명,1
세계,1
세계 궁금합니다,1
세계 알고 싶습니다,1
세계 궁금해,1
세계 알려줘,1
세계 알려줄래,1
세계 설명해줘,1
세계 설명 부탁드립니다,1
세계 설명,1
세계에 대해 궁금합니다,1
세계에 대해 알고 싶습니다,1
세계에 대해 궁금해,1
세계에 대해 알려줘,1
세계에 대해 알려줄래,1
세계에 대해 설명해줘,1
세계에 대해 설명 부탁드립니다,1
세계에 대해 설명,1
관찰,1
관찰 궁금합니다,1
관찰 알고 싶습니다,1
관찰 궁금해,1
관찰 알려줘,1
관찰 알려줄래,1
관찰 설명해줘,1
관찰 설명 부탁드립니다,1
관찰 설명,1
관찰에 대해 궁금합니다,1
관찰에 대해 알고 싶습니다,1
관찰에 대해 궁금해,1
관찰에 대해 알려줘,1
관찰에 대해 알려줄래,1
관찰에 대해 설명해줘,1
관찰에 대해 설명 부탁드립니다,1
관찰에 대해 설명,1
측정,1
측정 궁금합니다,1
측정 알고 싶습니다,1
측정 궁금해,1
측정 알려줘,1
측정 알려줄래,1
측정 설명해줘,1
측정 설명 부탁드립니다,1
측정 설명,1
측정에 대해 궁금합니다,1
측정에 대해 알고 싶습니다,1
측정에 대해 궁금해,1
측정에 대해 알려줘,1
측정에 대해 알려줄래,1
측정에 대해 설명해줘,1
측정에 대해 설명 부탁드립니다,1
